qid,tid,,
6416,10,,"insert into question_tag (qid, tid) values(6416, 10);"
6417,31,,"insert into question_tag (qid, tid) values(6417, 31);"
6418,33,,"insert into question_tag (qid, tid) values(6418, 33);"
6419,7,,"insert into question_tag (qid, tid) values(6419, 7);"
6420,21,,"insert into question_tag (qid, tid) values(6420, 21);"
6421,16,,"insert into question_tag (qid, tid) values(6421, 16);"
6422,13,,"insert into question_tag (qid, tid) values(6422, 13);"
6423,25,,"insert into question_tag (qid, tid) values(6423, 25);"
6424,8,,"insert into question_tag (qid, tid) values(6424, 8);"
6425,8,,"insert into question_tag (qid, tid) values(6425, 8);"
6426,19,,"insert into question_tag (qid, tid) values(6426, 19);"
6427,25,,"insert into question_tag (qid, tid) values(6427, 25);"
6428,33,,"insert into question_tag (qid, tid) values(6428, 33);"
6429,7,,"insert into question_tag (qid, tid) values(6429, 7);"
6430,34,,"insert into question_tag (qid, tid) values(6430, 34);"
6431,23,,"insert into question_tag (qid, tid) values(6431, 23);"
6432,13,,"insert into question_tag (qid, tid) values(6432, 13);"
6433,36,,"insert into question_tag (qid, tid) values(6433, 36);"
6434,24,,"insert into question_tag (qid, tid) values(6434, 24);"
6435,14,,"insert into question_tag (qid, tid) values(6435, 14);"
6436,40,,"insert into question_tag (qid, tid) values(6436, 40);"
6437,7,,"insert into question_tag (qid, tid) values(6437, 7);"
6438,32,,"insert into question_tag (qid, tid) values(6438, 32);"
6439,34,,"insert into question_tag (qid, tid) values(6439, 34);"
6440,37,,"insert into question_tag (qid, tid) values(6440, 37);"
6441,36,,"insert into question_tag (qid, tid) values(6441, 36);"
6442,28,,"insert into question_tag (qid, tid) values(6442, 28);"
6443,32,,"insert into question_tag (qid, tid) values(6443, 32);"
6444,41,,"insert into question_tag (qid, tid) values(6444, 41);"
6445,16,,"insert into question_tag (qid, tid) values(6445, 16);"
6446,34,,"insert into question_tag (qid, tid) values(6446, 34);"
6447,11,,"insert into question_tag (qid, tid) values(6447, 11);"
6448,37,,"insert into question_tag (qid, tid) values(6448, 37);"
6449,23,,"insert into question_tag (qid, tid) values(6449, 23);"
6450,6,,"insert into question_tag (qid, tid) values(6450, 6);"
6451,26,,"insert into question_tag (qid, tid) values(6451, 26);"
6452,4,,"insert into question_tag (qid, tid) values(6452, 4);"
6453,13,,"insert into question_tag (qid, tid) values(6453, 13);"
6454,18,,"insert into question_tag (qid, tid) values(6454, 18);"
6455,21,,"insert into question_tag (qid, tid) values(6455, 21);"
6456,4,,"insert into question_tag (qid, tid) values(6456, 4);"
6457,41,,"insert into question_tag (qid, tid) values(6457, 41);"
6458,19,,"insert into question_tag (qid, tid) values(6458, 19);"
6459,23,,"insert into question_tag (qid, tid) values(6459, 23);"
6460,6,,"insert into question_tag (qid, tid) values(6460, 6);"
6461,8,,"insert into question_tag (qid, tid) values(6461, 8);"
6462,3,,"insert into question_tag (qid, tid) values(6462, 3);"
6463,21,,"insert into question_tag (qid, tid) values(6463, 21);"
6464,36,,"insert into question_tag (qid, tid) values(6464, 36);"
6465,29,,"insert into question_tag (qid, tid) values(6465, 29);"
6466,40,,"insert into question_tag (qid, tid) values(6466, 40);"
6467,41,,"insert into question_tag (qid, tid) values(6467, 41);"
6468,29,,"insert into question_tag (qid, tid) values(6468, 29);"
6469,4,,"insert into question_tag (qid, tid) values(6469, 4);"
6470,27,,"insert into question_tag (qid, tid) values(6470, 27);"
6471,41,,"insert into question_tag (qid, tid) values(6471, 41);"
6472,17,,"insert into question_tag (qid, tid) values(6472, 17);"
6473,16,,"insert into question_tag (qid, tid) values(6473, 16);"
6474,15,,"insert into question_tag (qid, tid) values(6474, 15);"
6475,14,,"insert into question_tag (qid, tid) values(6475, 14);"
6476,12,,"insert into question_tag (qid, tid) values(6476, 12);"
6477,26,,"insert into question_tag (qid, tid) values(6477, 26);"
6478,40,,"insert into question_tag (qid, tid) values(6478, 40);"
6479,13,,"insert into question_tag (qid, tid) values(6479, 13);"
6480,35,,"insert into question_tag (qid, tid) values(6480, 35);"
6481,5,,"insert into question_tag (qid, tid) values(6481, 5);"
6482,29,,"insert into question_tag (qid, tid) values(6482, 29);"
6483,9,,"insert into question_tag (qid, tid) values(6483, 9);"
6484,32,,"insert into question_tag (qid, tid) values(6484, 32);"
6485,21,,"insert into question_tag (qid, tid) values(6485, 21);"
6486,37,,"insert into question_tag (qid, tid) values(6486, 37);"
6487,26,,"insert into question_tag (qid, tid) values(6487, 26);"
6488,14,,"insert into question_tag (qid, tid) values(6488, 14);"
6489,29,,"insert into question_tag (qid, tid) values(6489, 29);"
6490,20,,"insert into question_tag (qid, tid) values(6490, 20);"
6491,6,,"insert into question_tag (qid, tid) values(6491, 6);"
6492,16,,"insert into question_tag (qid, tid) values(6492, 16);"
6493,19,,"insert into question_tag (qid, tid) values(6493, 19);"
6494,34,,"insert into question_tag (qid, tid) values(6494, 34);"
6495,38,,"insert into question_tag (qid, tid) values(6495, 38);"
6496,9,,"insert into question_tag (qid, tid) values(6496, 9);"
6497,10,,"insert into question_tag (qid, tid) values(6497, 10);"
6498,18,,"insert into question_tag (qid, tid) values(6498, 18);"
6499,16,,"insert into question_tag (qid, tid) values(6499, 16);"
6500,12,,"insert into question_tag (qid, tid) values(6500, 12);"
6501,33,,"insert into question_tag (qid, tid) values(6501, 33);"
6502,20,,"insert into question_tag (qid, tid) values(6502, 20);"
6503,4,,"insert into question_tag (qid, tid) values(6503, 4);"
6504,37,,"insert into question_tag (qid, tid) values(6504, 37);"
6505,29,,"insert into question_tag (qid, tid) values(6505, 29);"
6506,26,,"insert into question_tag (qid, tid) values(6506, 26);"
6507,21,,"insert into question_tag (qid, tid) values(6507, 21);"
6508,32,,"insert into question_tag (qid, tid) values(6508, 32);"
6509,32,,"insert into question_tag (qid, tid) values(6509, 32);"
6510,12,,"insert into question_tag (qid, tid) values(6510, 12);"
6511,10,,"insert into question_tag (qid, tid) values(6511, 10);"
6512,30,,"insert into question_tag (qid, tid) values(6512, 30);"
6513,21,,"insert into question_tag (qid, tid) values(6513, 21);"
6514,40,,"insert into question_tag (qid, tid) values(6514, 40);"
6515,23,,"insert into question_tag (qid, tid) values(6515, 23);"
6516,27,,"insert into question_tag (qid, tid) values(6516, 27);"
6517,7,,"insert into question_tag (qid, tid) values(6517, 7);"
6518,7,,"insert into question_tag (qid, tid) values(6518, 7);"
6519,34,,"insert into question_tag (qid, tid) values(6519, 34);"
6520,34,,"insert into question_tag (qid, tid) values(6520, 34);"
6521,14,,"insert into question_tag (qid, tid) values(6521, 14);"
6522,1,,"insert into question_tag (qid, tid) values(6522, 1);"
6523,31,,"insert into question_tag (qid, tid) values(6523, 31);"
6524,28,,"insert into question_tag (qid, tid) values(6524, 28);"
6525,20,,"insert into question_tag (qid, tid) values(6525, 20);"
6526,32,,"insert into question_tag (qid, tid) values(6526, 32);"
6527,21,,"insert into question_tag (qid, tid) values(6527, 21);"
6528,10,,"insert into question_tag (qid, tid) values(6528, 10);"
6529,28,,"insert into question_tag (qid, tid) values(6529, 28);"
6530,37,,"insert into question_tag (qid, tid) values(6530, 37);"
6531,41,,"insert into question_tag (qid, tid) values(6531, 41);"
6532,38,,"insert into question_tag (qid, tid) values(6532, 38);"
6533,1,,"insert into question_tag (qid, tid) values(6533, 1);"
6534,9,,"insert into question_tag (qid, tid) values(6534, 9);"
6535,26,,"insert into question_tag (qid, tid) values(6535, 26);"
6536,26,,"insert into question_tag (qid, tid) values(6536, 26);"
6537,25,,"insert into question_tag (qid, tid) values(6537, 25);"
6538,19,,"insert into question_tag (qid, tid) values(6538, 19);"
6539,40,,"insert into question_tag (qid, tid) values(6539, 40);"
6540,24,,"insert into question_tag (qid, tid) values(6540, 24);"
6541,2,,"insert into question_tag (qid, tid) values(6541, 2);"
6542,12,,"insert into question_tag (qid, tid) values(6542, 12);"
6543,8,,"insert into question_tag (qid, tid) values(6543, 8);"
6544,26,,"insert into question_tag (qid, tid) values(6544, 26);"
6545,6,,"insert into question_tag (qid, tid) values(6545, 6);"
6546,26,,"insert into question_tag (qid, tid) values(6546, 26);"
6547,3,,"insert into question_tag (qid, tid) values(6547, 3);"
6548,39,,"insert into question_tag (qid, tid) values(6548, 39);"
6549,36,,"insert into question_tag (qid, tid) values(6549, 36);"
6550,26,,"insert into question_tag (qid, tid) values(6550, 26);"
6551,40,,"insert into question_tag (qid, tid) values(6551, 40);"
6552,23,,"insert into question_tag (qid, tid) values(6552, 23);"
6553,30,,"insert into question_tag (qid, tid) values(6553, 30);"
6554,28,,"insert into question_tag (qid, tid) values(6554, 28);"
6555,1,,"insert into question_tag (qid, tid) values(6555, 1);"
6556,14,,"insert into question_tag (qid, tid) values(6556, 14);"
6557,19,,"insert into question_tag (qid, tid) values(6557, 19);"
6558,7,,"insert into question_tag (qid, tid) values(6558, 7);"
6559,5,,"insert into question_tag (qid, tid) values(6559, 5);"
6560,16,,"insert into question_tag (qid, tid) values(6560, 16);"
6561,19,,"insert into question_tag (qid, tid) values(6561, 19);"
6562,2,,"insert into question_tag (qid, tid) values(6562, 2);"
6563,7,,"insert into question_tag (qid, tid) values(6563, 7);"
6564,3,,"insert into question_tag (qid, tid) values(6564, 3);"
6565,16,,"insert into question_tag (qid, tid) values(6565, 16);"
6566,41,,"insert into question_tag (qid, tid) values(6566, 41);"
6567,38,,"insert into question_tag (qid, tid) values(6567, 38);"
6568,11,,"insert into question_tag (qid, tid) values(6568, 11);"
6569,27,,"insert into question_tag (qid, tid) values(6569, 27);"
6570,30,,"insert into question_tag (qid, tid) values(6570, 30);"
6571,1,,"insert into question_tag (qid, tid) values(6571, 1);"
6572,22,,"insert into question_tag (qid, tid) values(6572, 22);"
6573,22,,"insert into question_tag (qid, tid) values(6573, 22);"
6574,15,,"insert into question_tag (qid, tid) values(6574, 15);"
6575,31,,"insert into question_tag (qid, tid) values(6575, 31);"
6576,12,,"insert into question_tag (qid, tid) values(6576, 12);"
6577,39,,"insert into question_tag (qid, tid) values(6577, 39);"
6578,10,,"insert into question_tag (qid, tid) values(6578, 10);"
6579,5,,"insert into question_tag (qid, tid) values(6579, 5);"
6580,27,,"insert into question_tag (qid, tid) values(6580, 27);"
6581,25,,"insert into question_tag (qid, tid) values(6581, 25);"
6582,6,,"insert into question_tag (qid, tid) values(6582, 6);"
6583,7,,"insert into question_tag (qid, tid) values(6583, 7);"
6584,28,,"insert into question_tag (qid, tid) values(6584, 28);"
6585,38,,"insert into question_tag (qid, tid) values(6585, 38);"
6586,15,,"insert into question_tag (qid, tid) values(6586, 15);"
6587,22,,"insert into question_tag (qid, tid) values(6587, 22);"
6588,26,,"insert into question_tag (qid, tid) values(6588, 26);"
6589,5,,"insert into question_tag (qid, tid) values(6589, 5);"
6590,20,,"insert into question_tag (qid, tid) values(6590, 20);"
6591,10,,"insert into question_tag (qid, tid) values(6591, 10);"
6592,8,,"insert into question_tag (qid, tid) values(6592, 8);"
6593,26,,"insert into question_tag (qid, tid) values(6593, 26);"
6594,28,,"insert into question_tag (qid, tid) values(6594, 28);"
6595,12,,"insert into question_tag (qid, tid) values(6595, 12);"
6596,1,,"insert into question_tag (qid, tid) values(6596, 1);"
6597,25,,"insert into question_tag (qid, tid) values(6597, 25);"
6598,14,,"insert into question_tag (qid, tid) values(6598, 14);"
6599,2,,"insert into question_tag (qid, tid) values(6599, 2);"
6600,33,,"insert into question_tag (qid, tid) values(6600, 33);"
6601,17,,"insert into question_tag (qid, tid) values(6601, 17);"
6602,23,,"insert into question_tag (qid, tid) values(6602, 23);"
6603,15,,"insert into question_tag (qid, tid) values(6603, 15);"
6604,34,,"insert into question_tag (qid, tid) values(6604, 34);"
6605,24,,"insert into question_tag (qid, tid) values(6605, 24);"
6606,18,,"insert into question_tag (qid, tid) values(6606, 18);"
6607,14,,"insert into question_tag (qid, tid) values(6607, 14);"
6608,24,,"insert into question_tag (qid, tid) values(6608, 24);"
6609,1,,"insert into question_tag (qid, tid) values(6609, 1);"
6610,32,,"insert into question_tag (qid, tid) values(6610, 32);"
6611,2,,"insert into question_tag (qid, tid) values(6611, 2);"
6612,18,,"insert into question_tag (qid, tid) values(6612, 18);"
6613,7,,"insert into question_tag (qid, tid) values(6613, 7);"
6614,32,,"insert into question_tag (qid, tid) values(6614, 32);"
6615,21,,"insert into question_tag (qid, tid) values(6615, 21);"
6616,29,,"insert into question_tag (qid, tid) values(6616, 29);"
6617,17,,"insert into question_tag (qid, tid) values(6617, 17);"
6618,36,,"insert into question_tag (qid, tid) values(6618, 36);"
6619,40,,"insert into question_tag (qid, tid) values(6619, 40);"
6620,9,,"insert into question_tag (qid, tid) values(6620, 9);"
6621,24,,"insert into question_tag (qid, tid) values(6621, 24);"
6622,8,,"insert into question_tag (qid, tid) values(6622, 8);"
6623,25,,"insert into question_tag (qid, tid) values(6623, 25);"
6624,39,,"insert into question_tag (qid, tid) values(6624, 39);"
6625,8,,"insert into question_tag (qid, tid) values(6625, 8);"
6626,13,,"insert into question_tag (qid, tid) values(6626, 13);"
6627,3,,"insert into question_tag (qid, tid) values(6627, 3);"
6628,11,,"insert into question_tag (qid, tid) values(6628, 11);"
6629,24,,"insert into question_tag (qid, tid) values(6629, 24);"
6630,38,,"insert into question_tag (qid, tid) values(6630, 38);"
6631,17,,"insert into question_tag (qid, tid) values(6631, 17);"
6632,9,,"insert into question_tag (qid, tid) values(6632, 9);"
6633,30,,"insert into question_tag (qid, tid) values(6633, 30);"
6634,23,,"insert into question_tag (qid, tid) values(6634, 23);"
6635,35,,"insert into question_tag (qid, tid) values(6635, 35);"
6636,12,,"insert into question_tag (qid, tid) values(6636, 12);"
6637,25,,"insert into question_tag (qid, tid) values(6637, 25);"
6638,18,,"insert into question_tag (qid, tid) values(6638, 18);"
6639,33,,"insert into question_tag (qid, tid) values(6639, 33);"
6640,30,,"insert into question_tag (qid, tid) values(6640, 30);"
6641,2,,"insert into question_tag (qid, tid) values(6641, 2);"
6642,26,,"insert into question_tag (qid, tid) values(6642, 26);"
6643,18,,"insert into question_tag (qid, tid) values(6643, 18);"
6644,9,,"insert into question_tag (qid, tid) values(6644, 9);"
6645,32,,"insert into question_tag (qid, tid) values(6645, 32);"
6646,39,,"insert into question_tag (qid, tid) values(6646, 39);"
6647,24,,"insert into question_tag (qid, tid) values(6647, 24);"
6648,37,,"insert into question_tag (qid, tid) values(6648, 37);"
6649,38,,"insert into question_tag (qid, tid) values(6649, 38);"
6650,38,,"insert into question_tag (qid, tid) values(6650, 38);"
6651,16,,"insert into question_tag (qid, tid) values(6651, 16);"
6652,26,,"insert into question_tag (qid, tid) values(6652, 26);"
6653,39,,"insert into question_tag (qid, tid) values(6653, 39);"
6654,12,,"insert into question_tag (qid, tid) values(6654, 12);"
6655,2,,"insert into question_tag (qid, tid) values(6655, 2);"
6656,26,,"insert into question_tag (qid, tid) values(6656, 26);"
6657,39,,"insert into question_tag (qid, tid) values(6657, 39);"
6658,21,,"insert into question_tag (qid, tid) values(6658, 21);"
6659,5,,"insert into question_tag (qid, tid) values(6659, 5);"
6660,38,,"insert into question_tag (qid, tid) values(6660, 38);"
6661,22,,"insert into question_tag (qid, tid) values(6661, 22);"
6662,39,,"insert into question_tag (qid, tid) values(6662, 39);"
6663,39,,"insert into question_tag (qid, tid) values(6663, 39);"
6664,11,,"insert into question_tag (qid, tid) values(6664, 11);"
6665,6,,"insert into question_tag (qid, tid) values(6665, 6);"
6666,34,,"insert into question_tag (qid, tid) values(6666, 34);"
6667,26,,"insert into question_tag (qid, tid) values(6667, 26);"
6668,3,,"insert into question_tag (qid, tid) values(6668, 3);"
6669,6,,"insert into question_tag (qid, tid) values(6669, 6);"
6670,40,,"insert into question_tag (qid, tid) values(6670, 40);"
6671,10,,"insert into question_tag (qid, tid) values(6671, 10);"
6672,24,,"insert into question_tag (qid, tid) values(6672, 24);"
6673,17,,"insert into question_tag (qid, tid) values(6673, 17);"
6674,15,,"insert into question_tag (qid, tid) values(6674, 15);"
6675,18,,"insert into question_tag (qid, tid) values(6675, 18);"
6676,2,,"insert into question_tag (qid, tid) values(6676, 2);"
6677,33,,"insert into question_tag (qid, tid) values(6677, 33);"
6678,16,,"insert into question_tag (qid, tid) values(6678, 16);"
6679,27,,"insert into question_tag (qid, tid) values(6679, 27);"
6680,29,,"insert into question_tag (qid, tid) values(6680, 29);"
6681,4,,"insert into question_tag (qid, tid) values(6681, 4);"
6682,17,,"insert into question_tag (qid, tid) values(6682, 17);"
6683,6,,"insert into question_tag (qid, tid) values(6683, 6);"
6684,9,,"insert into question_tag (qid, tid) values(6684, 9);"
6685,13,,"insert into question_tag (qid, tid) values(6685, 13);"
6686,22,,"insert into question_tag (qid, tid) values(6686, 22);"
6687,28,,"insert into question_tag (qid, tid) values(6687, 28);"
6688,10,,"insert into question_tag (qid, tid) values(6688, 10);"
6689,28,,"insert into question_tag (qid, tid) values(6689, 28);"
6690,9,,"insert into question_tag (qid, tid) values(6690, 9);"
6691,6,,"insert into question_tag (qid, tid) values(6691, 6);"
6692,28,,"insert into question_tag (qid, tid) values(6692, 28);"
6693,35,,"insert into question_tag (qid, tid) values(6693, 35);"
6694,21,,"insert into question_tag (qid, tid) values(6694, 21);"
6695,34,,"insert into question_tag (qid, tid) values(6695, 34);"
6696,16,,"insert into question_tag (qid, tid) values(6696, 16);"
6697,41,,"insert into question_tag (qid, tid) values(6697, 41);"
6698,2,,"insert into question_tag (qid, tid) values(6698, 2);"
6699,3,,"insert into question_tag (qid, tid) values(6699, 3);"
6700,29,,"insert into question_tag (qid, tid) values(6700, 29);"
6701,11,,"insert into question_tag (qid, tid) values(6701, 11);"
6702,8,,"insert into question_tag (qid, tid) values(6702, 8);"
6703,7,,"insert into question_tag (qid, tid) values(6703, 7);"
6704,20,,"insert into question_tag (qid, tid) values(6704, 20);"
6705,5,,"insert into question_tag (qid, tid) values(6705, 5);"
6706,34,,"insert into question_tag (qid, tid) values(6706, 34);"
6707,24,,"insert into question_tag (qid, tid) values(6707, 24);"
6708,20,,"insert into question_tag (qid, tid) values(6708, 20);"
6709,33,,"insert into question_tag (qid, tid) values(6709, 33);"
6710,18,,"insert into question_tag (qid, tid) values(6710, 18);"
6711,28,,"insert into question_tag (qid, tid) values(6711, 28);"
6712,2,,"insert into question_tag (qid, tid) values(6712, 2);"
6713,36,,"insert into question_tag (qid, tid) values(6713, 36);"
6714,6,,"insert into question_tag (qid, tid) values(6714, 6);"
6715,22,,"insert into question_tag (qid, tid) values(6715, 22);"
6716,15,,"insert into question_tag (qid, tid) values(6716, 15);"
6717,5,,"insert into question_tag (qid, tid) values(6717, 5);"
6718,8,,"insert into question_tag (qid, tid) values(6718, 8);"
6719,21,,"insert into question_tag (qid, tid) values(6719, 21);"
6720,13,,"insert into question_tag (qid, tid) values(6720, 13);"
6721,6,,"insert into question_tag (qid, tid) values(6721, 6);"
6722,22,,"insert into question_tag (qid, tid) values(6722, 22);"
6723,7,,"insert into question_tag (qid, tid) values(6723, 7);"
6724,3,,"insert into question_tag (qid, tid) values(6724, 3);"
6725,40,,"insert into question_tag (qid, tid) values(6725, 40);"
6726,5,,"insert into question_tag (qid, tid) values(6726, 5);"
6727,19,,"insert into question_tag (qid, tid) values(6727, 19);"
6728,24,,"insert into question_tag (qid, tid) values(6728, 24);"
6729,23,,"insert into question_tag (qid, tid) values(6729, 23);"
6730,40,,"insert into question_tag (qid, tid) values(6730, 40);"
6731,27,,"insert into question_tag (qid, tid) values(6731, 27);"
6732,21,,"insert into question_tag (qid, tid) values(6732, 21);"
6733,4,,"insert into question_tag (qid, tid) values(6733, 4);"
6734,21,,"insert into question_tag (qid, tid) values(6734, 21);"
6735,4,,"insert into question_tag (qid, tid) values(6735, 4);"
6736,17,,"insert into question_tag (qid, tid) values(6736, 17);"
6737,7,,"insert into question_tag (qid, tid) values(6737, 7);"
6738,17,,"insert into question_tag (qid, tid) values(6738, 17);"
6739,4,,"insert into question_tag (qid, tid) values(6739, 4);"
6740,26,,"insert into question_tag (qid, tid) values(6740, 26);"
6741,15,,"insert into question_tag (qid, tid) values(6741, 15);"
6742,12,,"insert into question_tag (qid, tid) values(6742, 12);"
6743,14,,"insert into question_tag (qid, tid) values(6743, 14);"
6744,38,,"insert into question_tag (qid, tid) values(6744, 38);"
6745,12,,"insert into question_tag (qid, tid) values(6745, 12);"
6746,41,,"insert into question_tag (qid, tid) values(6746, 41);"
6747,15,,"insert into question_tag (qid, tid) values(6747, 15);"
6748,11,,"insert into question_tag (qid, tid) values(6748, 11);"
6749,18,,"insert into question_tag (qid, tid) values(6749, 18);"
6750,1,,"insert into question_tag (qid, tid) values(6750, 1);"
6751,1,,"insert into question_tag (qid, tid) values(6751, 1);"
6752,40,,"insert into question_tag (qid, tid) values(6752, 40);"
6753,16,,"insert into question_tag (qid, tid) values(6753, 16);"
6754,23,,"insert into question_tag (qid, tid) values(6754, 23);"
6755,14,,"insert into question_tag (qid, tid) values(6755, 14);"
6756,40,,"insert into question_tag (qid, tid) values(6756, 40);"
6757,10,,"insert into question_tag (qid, tid) values(6757, 10);"
6758,5,,"insert into question_tag (qid, tid) values(6758, 5);"
6759,7,,"insert into question_tag (qid, tid) values(6759, 7);"
6760,37,,"insert into question_tag (qid, tid) values(6760, 37);"
6761,16,,"insert into question_tag (qid, tid) values(6761, 16);"
6762,34,,"insert into question_tag (qid, tid) values(6762, 34);"
6763,28,,"insert into question_tag (qid, tid) values(6763, 28);"
6764,23,,"insert into question_tag (qid, tid) values(6764, 23);"
6765,18,,"insert into question_tag (qid, tid) values(6765, 18);"
6766,22,,"insert into question_tag (qid, tid) values(6766, 22);"
6767,18,,"insert into question_tag (qid, tid) values(6767, 18);"
6768,10,,"insert into question_tag (qid, tid) values(6768, 10);"
6769,25,,"insert into question_tag (qid, tid) values(6769, 25);"
6770,32,,"insert into question_tag (qid, tid) values(6770, 32);"
6771,40,,"insert into question_tag (qid, tid) values(6771, 40);"
6772,35,,"insert into question_tag (qid, tid) values(6772, 35);"
6773,7,,"insert into question_tag (qid, tid) values(6773, 7);"
6774,18,,"insert into question_tag (qid, tid) values(6774, 18);"
6775,36,,"insert into question_tag (qid, tid) values(6775, 36);"
6776,3,,"insert into question_tag (qid, tid) values(6776, 3);"
6777,6,,"insert into question_tag (qid, tid) values(6777, 6);"
6778,13,,"insert into question_tag (qid, tid) values(6778, 13);"
6779,40,,"insert into question_tag (qid, tid) values(6779, 40);"
6780,41,,"insert into question_tag (qid, tid) values(6780, 41);"
6781,12,,"insert into question_tag (qid, tid) values(6781, 12);"
6782,5,,"insert into question_tag (qid, tid) values(6782, 5);"
6783,1,,"insert into question_tag (qid, tid) values(6783, 1);"
6784,22,,"insert into question_tag (qid, tid) values(6784, 22);"
6785,13,,"insert into question_tag (qid, tid) values(6785, 13);"
6786,15,,"insert into question_tag (qid, tid) values(6786, 15);"
6787,7,,"insert into question_tag (qid, tid) values(6787, 7);"
6788,8,,"insert into question_tag (qid, tid) values(6788, 8);"
6789,40,,"insert into question_tag (qid, tid) values(6789, 40);"
6790,11,,"insert into question_tag (qid, tid) values(6790, 11);"
6791,27,,"insert into question_tag (qid, tid) values(6791, 27);"
6792,25,,"insert into question_tag (qid, tid) values(6792, 25);"
6793,3,,"insert into question_tag (qid, tid) values(6793, 3);"
6794,40,,"insert into question_tag (qid, tid) values(6794, 40);"
6795,4,,"insert into question_tag (qid, tid) values(6795, 4);"
6796,15,,"insert into question_tag (qid, tid) values(6796, 15);"
6797,26,,"insert into question_tag (qid, tid) values(6797, 26);"
6798,14,,"insert into question_tag (qid, tid) values(6798, 14);"
6799,4,,"insert into question_tag (qid, tid) values(6799, 4);"
6800,27,,"insert into question_tag (qid, tid) values(6800, 27);"
6801,16,,"insert into question_tag (qid, tid) values(6801, 16);"
6802,6,,"insert into question_tag (qid, tid) values(6802, 6);"
6803,5,,"insert into question_tag (qid, tid) values(6803, 5);"
6804,10,,"insert into question_tag (qid, tid) values(6804, 10);"
6805,12,,"insert into question_tag (qid, tid) values(6805, 12);"
6806,6,,"insert into question_tag (qid, tid) values(6806, 6);"
6807,5,,"insert into question_tag (qid, tid) values(6807, 5);"
6808,11,,"insert into question_tag (qid, tid) values(6808, 11);"
6809,22,,"insert into question_tag (qid, tid) values(6809, 22);"
6810,18,,"insert into question_tag (qid, tid) values(6810, 18);"
6811,10,,"insert into question_tag (qid, tid) values(6811, 10);"
6812,37,,"insert into question_tag (qid, tid) values(6812, 37);"
6813,21,,"insert into question_tag (qid, tid) values(6813, 21);"
6814,11,,"insert into question_tag (qid, tid) values(6814, 11);"
6815,40,,"insert into question_tag (qid, tid) values(6815, 40);"
6816,4,,"insert into question_tag (qid, tid) values(6816, 4);"
6817,6,,"insert into question_tag (qid, tid) values(6817, 6);"
6818,11,,"insert into question_tag (qid, tid) values(6818, 11);"
6819,31,,"insert into question_tag (qid, tid) values(6819, 31);"
6820,22,,"insert into question_tag (qid, tid) values(6820, 22);"
6821,14,,"insert into question_tag (qid, tid) values(6821, 14);"
6822,21,,"insert into question_tag (qid, tid) values(6822, 21);"
6823,8,,"insert into question_tag (qid, tid) values(6823, 8);"
6824,37,,"insert into question_tag (qid, tid) values(6824, 37);"
6825,13,,"insert into question_tag (qid, tid) values(6825, 13);"
6826,13,,"insert into question_tag (qid, tid) values(6826, 13);"
6827,9,,"insert into question_tag (qid, tid) values(6827, 9);"
6828,27,,"insert into question_tag (qid, tid) values(6828, 27);"
6829,7,,"insert into question_tag (qid, tid) values(6829, 7);"
6830,39,,"insert into question_tag (qid, tid) values(6830, 39);"
6831,12,,"insert into question_tag (qid, tid) values(6831, 12);"
6832,20,,"insert into question_tag (qid, tid) values(6832, 20);"
6833,14,,"insert into question_tag (qid, tid) values(6833, 14);"
6834,20,,"insert into question_tag (qid, tid) values(6834, 20);"
6835,41,,"insert into question_tag (qid, tid) values(6835, 41);"
6836,22,,"insert into question_tag (qid, tid) values(6836, 22);"
6837,27,,"insert into question_tag (qid, tid) values(6837, 27);"
6838,16,,"insert into question_tag (qid, tid) values(6838, 16);"
6839,22,,"insert into question_tag (qid, tid) values(6839, 22);"
6840,1,,"insert into question_tag (qid, tid) values(6840, 1);"
6841,34,,"insert into question_tag (qid, tid) values(6841, 34);"
6842,38,,"insert into question_tag (qid, tid) values(6842, 38);"
6843,14,,"insert into question_tag (qid, tid) values(6843, 14);"
6844,25,,"insert into question_tag (qid, tid) values(6844, 25);"
6845,36,,"insert into question_tag (qid, tid) values(6845, 36);"
6846,15,,"insert into question_tag (qid, tid) values(6846, 15);"
6847,13,,"insert into question_tag (qid, tid) values(6847, 13);"
6848,17,,"insert into question_tag (qid, tid) values(6848, 17);"
6849,35,,"insert into question_tag (qid, tid) values(6849, 35);"
6850,24,,"insert into question_tag (qid, tid) values(6850, 24);"
6851,3,,"insert into question_tag (qid, tid) values(6851, 3);"
6852,20,,"insert into question_tag (qid, tid) values(6852, 20);"
6853,16,,"insert into question_tag (qid, tid) values(6853, 16);"
6854,20,,"insert into question_tag (qid, tid) values(6854, 20);"
6855,17,,"insert into question_tag (qid, tid) values(6855, 17);"
6856,20,,"insert into question_tag (qid, tid) values(6856, 20);"
6857,2,,"insert into question_tag (qid, tid) values(6857, 2);"
6858,14,,"insert into question_tag (qid, tid) values(6858, 14);"
6859,10,,"insert into question_tag (qid, tid) values(6859, 10);"
6860,39,,"insert into question_tag (qid, tid) values(6860, 39);"
6861,3,,"insert into question_tag (qid, tid) values(6861, 3);"
6862,30,,"insert into question_tag (qid, tid) values(6862, 30);"
6863,30,,"insert into question_tag (qid, tid) values(6863, 30);"
6864,23,,"insert into question_tag (qid, tid) values(6864, 23);"
6865,22,,"insert into question_tag (qid, tid) values(6865, 22);"
6866,35,,"insert into question_tag (qid, tid) values(6866, 35);"
